dataset,seed,norm_mode,graph_mode,encoder_mode,relation_mode,train_protocol,train_acc,val_acc,test_acc,best_val_acc,best_epoch,final_epoch,num_train_used_for_loss,num_val,num_test,num_channels,seq_len,num_classes
Libras,1,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.088889,0.583333,0.066667,0.583333,13,13,180,36,180,2,45,15
Libras,2,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.077778,0.305556,0.088889,0.305556,1,1,180,36,180,2,45,15
Libras,0,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,0.338889,nan,0.305556,nan,nan,50,180,0,180,2,45,15
Libras,1,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,0.450000,nan,0.388889,nan,nan,50,180,0,180,2,45,15
Libras,2,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,0.372222,nan,0.316667,nan,nan,50,180,0,180,2,45,15
Libras,0,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.433333,nan,0.366667,nan,nan,100,180,0,180,2,45,15
Libras,1,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.538889,nan,0.438889,nan,nan,100,180,0,180,2,45,15
Libras,2,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.488889,nan,0.416667,nan,nan,100,180,0,180,2,45,15
Libras,0,train_global,no_graph,current,lowN_channel_attn,current_split,0.645833,0.527778,0.477778,0.527778,8,8,144,36,180,2,45,15
Libras,1,train_global,no_graph,current,lowN_channel_attn,current_split,0.618056,0.555556,0.438889,0.555556,3,3,144,36,180,2,45,15
Libras,2,train_global,no_graph,current,lowN_channel_attn,current_split,0.722222,0.472222,0.511111,0.472222,20,20,144,36,180,2,45,15
Libras,0,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.708333,0.583333,0.527778,0.583333,10,10,144,36,180,2,45,15
Libras,1,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.680556,0.638889,0.511111,0.638889,8,8,144,36,180,2,45,15
Libras,2,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.708333,0.555556,0.555556,0.555556,16,16,144,36,180,2,45,15
Libras,0,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.127778,0.583333,0.105556,0.583333,10,10,180,36,180,2,45,15
Libras,1,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.088889,0.638889,0.077778,0.638889,8,8,180,36,180,2,45,15
Libras,2,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.172222,0.555556,0.177778,0.555556,16,16,180,36,180,2,45,15
Libras,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,0.600000,nan,0.466667,nan,nan,50,180,0,180,2,45,15
Libras,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,0.588889,nan,0.416667,nan,nan,50,180,0,180,2,45,15
Libras,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,0.583333,nan,0.483333,nan,nan,50,180,0,180,2,45,15
Libras,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.816667,nan,0.694444,nan,nan,100,180,0,180,2,45,15
Libras,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.822222,nan,0.672222,nan,nan,100,180,0,180,2,45,15
Libras,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.772222,nan,0.644444,nan,nan,100,180,0,180,2,45,15
UWaveGestureLibrary,0,train_global,no_graph,current,hgnn_zero,current_split,0.416667,0.375000,0.368750,0.375000,1,1,96,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,current,hgnn_zero,current_split,0.572917,0.583333,0.487500,0.583333,1,1,96,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,current,hgnn_zero,current_split,0.697917,0.375000,0.475000,0.375000,18,18,96,24,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,current,hgnn_zero,stratified_split,0.531250,0.458333,0.415625,0.458333,5,5,96,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,current,hgnn_zero,stratified_split,0.583333,0.583333,0.471875,0.583333,1,1,96,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,current,hgnn_zero,stratified_split,0.572917,0.500000,0.428125,0.500000,1,1,96,24,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.133333,0.458333,0.128125,0.458333,5,5,120,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.125000,0.583333,0.125000,0.583333,1,1,120,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.125000,0.500000,0.125000,0.500000,1,1,120,24,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,0.533333,nan,0.434375,nan,nan,50,120,0,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,0.566667,nan,0.471875,nan,nan,50,120,0,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,0.608333,nan,0.453125,nan,nan,50,120,0,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.691667,nan,0.553125,nan,nan,100,120,0,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.725000,nan,0.578125,nan,nan,100,120,0,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.708333,nan,0.568750,nan,nan,100,120,0,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,current,lowN_channel_attn,current_split,0.697917,0.625000,0.615625,0.625000,22,22,96,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,current,lowN_channel_attn,current_split,0.895833,0.708333,0.693750,0.708333,43,43,96,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,current,lowN_channel_attn,current_split,0.531250,0.458333,0.453125,0.458333,1,1,96,24,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.812500,0.916667,0.703125,0.916667,24,24,96,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.864583,0.666667,0.653125,0.666667,25,25,96,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.916667,0.833333,0.681250,0.833333,18,18,96,24,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.183333,0.916667,0.150000,0.916667,24,24,120,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.150000,0.666667,0.162500,0.666667,25,25,120,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.150000,0.833333,0.143750,0.833333,18,18,120,24,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,0.608333,nan,0.553125,nan,nan,50,120,0,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,0.583333,nan,0.462500,nan,nan,50,120,0,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,0.616667,nan,0.512500,nan,nan,50,120,0,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.883333,nan,0.743750,nan,nan,100,120,0,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.908333,nan,0.765625,nan,nan,100,120,0,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.883333,nan,0.687500,nan,nan,100,120,0,320,3,315,8
